=== TSMV Error Report ===
Generated: 2026-02-09 15:08:05

## ApplicationGateway

| properties | error | The property names of definition "FrontendIPConfiguration" changed: ["etag","name","properties","type","zones"] -> ["etag","properties","zones"] |
| properties | error | The property names of definition "InboundNatRule" changed: ["etag","name","properties","type"] -> ["etag","properties"] |
| properties | error | The property names of definition "InboundNatRule" changed: ["etag","name","properties","type"] -> ["etag","properties"] |
| properties | error | The property names of definition "InboundNatRule" changed: ["etag","name","properties","type"] -> ["etag","properties"] |
| properties | error | The property names of definition "LoadBalancingRule" changed: ["etag","name","properties","type"] -> ["etag","properties"] |
| properties | error | The property names of definition "LoadBalancingRule" changed: ["etag","name","properties","type"] -> ["etag","properties"] |
| properties | error | The property names of definition "LoadBalancingRule" changed: ["etag","name","properties","type"] -> ["etag","properties"] |
| properties | error | The property names of definition "OutboundRule" changed: ["etag","name","properties","type"] -> ["etag","properties"] |
| properties | error | The property names of definition "OutboundRule" changed: ["etag","name","properties","type"] -> ["etag","properties"] |
| properties | error | The property names of definition "OutboundRule" changed: ["etag","name","properties","type"] -> ["etag","properties"] |
| properties | error | The property names of definition "Probe" changed: ["etag","name","properties","type"] -> ["etag","properties"] |
| properties | error | The property names of definition "Probe" changed: ["etag","name","properties","type"] -> ["etag","properties"] |
| properties | error | The property names of definition "Probe" changed: ["etag","name","properties","type"] -> ["etag","properties"] |

## NetworkGateway

| response | error | The response schema for operation "VirtualNetworkGateways_Generatevpnclientpackage" changed: {"description":"VPN client package URL.","schema":{"type":"string"}} -> {"description":"Azure operation completed successfully.","schema":{"$ref":"./common.json#/definitions/stringApplicationJson"}} |
| response | error | The response schema for operation "VirtualNetworkGateways_GenerateVpnProfile" changed: {"description":"VPN profile package URL.","schema":{"type":"string"}} -> {"description":"Azure operation completed successfully.","schema":{"$ref":"./common.json#/definitions/stringApplicationJson"}} |
| response | error | The response schema for operation "VirtualNetworkGateways_GetVpnProfilePackageUrl" changed: {"description":"VPN profile package URL.","schema":{"type":"string"}} -> {"description":"Azure operation completed successfully.","schema":{"$ref":"./common.json#/definitions/stringApplicationJson"}} |
| response | error | The response schema for operation "VirtualNetworkGateways_SupportedVpnDevices" changed: {"description":"Xml format representation for supported vpn devices.","schema":{"type":"string"}} -> {"description":"Azure operation completed successfully.","schema":{"$ref":"./common.json#/definitions/stringApplicationJson"}} |
| tags | error | The tags for operation "VirtualNetworkGateways_VpnDeviceConfigurationScript" changed: ["VirtualNetworkGateways"] -> ["VirtualNetworkGatewayConnections"] |
| response | error | The response schema for operation "VirtualNetworkGateways_VpnDeviceConfigurationScript" changed: {"description":"Xml format representation for vpn device configuration script.","schema":{"type":"string"}} -> {"description":"Azure operation completed successfully.","schema":{"$ref":"./common.json#/definitions/stringApplicationJson"}} |
| response | error | The response schema for operation "VirtualNetworkGateways_StartPacketCapture" changed: {"description":"Request successful. The operation packet capture started on virtual network gateway.","schema":{"type":"string"}} -> {"description":"Azure operation completed successfully.","schema":{"$ref":"./common.json#/definitions/stringApplicationJson"}} |
| response | error | The response schema for operation "VirtualNetworkGateways_StopPacketCapture" changed: {"description":"Request successful. The operation packet capture stopped on virtual network gateway.","schema":{"type":"string"}} -> {"description":"Azure operation completed successfully.","schema":{"$ref":"./common.json#/definitions/stringApplicationJson"}} |
| finalresult | error | The final result schema for operation "VirtualNetworkGateways_GetFailoverAllTestDetails" changed: "ExpressRouteFailoverAllTestDetails" -> undefined |
| response | error | The response schema for operation "VirtualNetworkGateways_GetFailoverAllTestDetails" changed: {"description":"Failover test details for the gateway","schema":{"$ref":"#/definitions/ExpressRouteFailoverAllTestDetails"}} -> {"description":"Azure operation completed successfully.","schema":{"type":"array","items":{"$ref":"#/definitions/ExpressRouteFailoverTestDetails"}}} |
| finalresult | error | The final result schema for operation "VirtualNetworkGateways_GetFailoverSingleTestDetails" changed: "ExpressRouteFailoverSingleTestDetailsObject" -> undefined |
| response | error | The response schema for operation "VirtualNetworkGateways_GetFailoverSingleTestDetails" changed: {"description":"Details of the failover test","schema":{"$ref":"#/definitions/ExpressRouteFailoverSingleTestDetailsObject"}} -> {"description":"Azure operation completed successfully.","schema":{"type":"array","items":{"$ref":"#/definitions/ExpressRouteFailoverSingleTestDetails"}}} |
| response | error | The response schema for operation "VirtualNetworkGateways_StartExpressRouteSiteFailoverSimulation" changed: {"description":"Request successful. The operation start failover simulation started on virtual network gateway.","schema":{"type":"string"}} -> {"description":"Azure operation completed successfully.","schema":{"$ref":"./common.json#/definitions/stringApplicationJson"}} |
| response | error | The response schema for operation "VirtualNetworkGateways_StopExpressRouteSiteFailoverSimulation" changed: {"description":"Request successful. Started the operation stop failover simulation on virtual network gateway.","schema":{"type":"string"}} -> {"description":"Azure operation completed successfully.","schema":{"$ref":"./common.json#/definitions/stringApplicationJson"}} |
| response | error | The response schema for operation "VirtualNetworkGatewayConnections_StartPacketCapture" changed: {"description":"Request successful. The operation packet capture started on virtual network gateway connection.","schema":{"type":"string"}} -> {"description":"Azure operation completed successfully.","schema":{"$ref":"./common.json#/definitions/stringApplicationJson"}} |
| response | error | The response schema for operation "VirtualNetworkGatewayConnections_StopPacketCapture" changed: {"description":"Request successful. The operation packet capture stopped on virtual network gateway connection.","schema":{"type":"string"}} -> {"description":"Azure operation completed successfully.","schema":{"$ref":"./common.json#/definitions/stringApplicationJson"}} |
| response | error | The response schema for operation "VirtualNetworkGatewayConnections_GetIkeSas" changed: {"description":"Request successful. The operation getikesas completed on virtual network gateway connection.","schema":{"type":"string"}} -> {"description":"Azure operation completed successfully.","schema":{"$ref":"./common.json#/definitions/stringApplicationJson"}} |
| path | error | The path for operation "VirtualNetworkTaps_ListAll" changed: null -> "/subscriptions/{subscriptionId}/providers/Microsoft.Network/virtualNetworkTaps" |
| path | error | The path for operation "VirtualNetworkTaps_ListByResourceGroup" changed: null -> "/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Network/virtualNetworkTaps" |
| path | error | The path for operation "VirtualNetworkTaps_Get" changed: null -> "/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Network/virtualNetworkTaps/{tapName}" |
| path | error | The path for operation "VirtualNetworkTaps_CreateOrUpdate" changed: null -> "/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Network/virtualNetworkTaps/{tapName}" |
| path | error | The path for operation "VirtualNetworkTaps_UpdateTags" changed: null -> "/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Network/virtualNetworkTaps/{tapName}" |
| path | error | The path for operation "VirtualNetworkTaps_Delete" changed: null -> "/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Network/virtualNetworkTaps/{tapName}" |
| properties | error | The property names of definition "VirtualNetworkGatewayNatRule" changed: ["etag","name","properties","type"] -> ["etag","properties"] |
| properties | error | The property names of definition "VirtualNetworkGatewayNatRule" changed: ["etag","name","properties","type"] -> ["etag","properties"] |
| properties | error | The property names of definition "VirtualNetworkGatewayNatRule" changed: ["etag","name","properties","type"] -> ["etag","properties"] |

## NetworkingOperations

| tags | error | The tags for operation "Operations_List" changed: [] -> ["Operations"] |

## NetworkManager

| parameters | error | The number of parameters for operation "NetworkManagers_Get" changed: 0 -> 4 |
| parameters | error | The number of parameters for operation "NetworkManagers_CreateOrUpdate" changed: 1 -> 5 |
| parameters | error | The number of parameters for operation "NetworkManagers_Delete" changed: 1 -> 5 |
| parameters | error | The number of parameters for operation "NetworkManagers_Patch" changed: 1 -> 5 |
| parameters | error | The number of parameters for operation "NetworkManagerCommits_Post" changed: 1 -> 5 |
| parameters | error | The number of parameters for operation "NetworkManagerDeploymentStatus_List" changed: 1 -> 6 |
| parameters | error | The number of parameters for operation "ListActiveConnectivityConfigurations" changed: 1 -> 6 |
| tags | error | The tags for operation "ListActiveConnectivityConfigurations" changed: ["NetworkManagerActiveConnectivityConfigurations"] -> ["NetworkManagers"] |
| parameters | error | The number of parameters for operation "ListActiveSecurityAdminRules" changed: 1 -> 6 |
| tags | error | The tags for operation "ListActiveSecurityAdminRules" changed: ["NetworkManagerActiveConfigurations"] -> ["NetworkManagers"] |
| parameters | error | The number of parameters for operation "SubscriptionNetworkManagerConnections_CreateOrUpdate" changed: 1 -> 4 |
| parameters | error | The number of parameters for operation "SubscriptionNetworkManagerConnections_Get" changed: 0 -> 3 |
| parameters | error | The number of parameters for operation "SubscriptionNetworkManagerConnections_Delete" changed: 0 -> 3 |
| parameters | error | The number of parameters for operation "ManagementGroupNetworkManagerConnections_CreateOrUpdate" changed: 1 -> 4 |
| parameters | error | The number of parameters for operation "ManagementGroupNetworkManagerConnections_Get" changed: 0 -> 3 |
| parameters | error | The number of parameters for operation "ManagementGroupNetworkManagerConnections_Delete" changed: 0 -> 3 |
| parameters | error | The number of parameters for operation "ConnectivityConfigurations_Get" changed: 0 -> 5 |
| parameters | error | The number of parameters for operation "ConnectivityConfigurations_CreateOrUpdate" changed: 1 -> 6 |
| parameters | error | The number of parameters for operation "ConnectivityConfigurations_Delete" changed: 1 -> 6 |
| parameters | error | The number of parameters for operation "ListNetworkManagerEffectiveConnectivityConfigurations" changed: 1 -> 6 |
| parameters | error | The number of parameters for operation "ListNetworkManagerEffectiveSecurityAdminRules" changed: 1 -> 6 |
| parameters | error | The number of parameters for operation "NetworkGroups_Get" changed: 0 -> 5 |
| parameters | error | The number of parameters for operation "NetworkGroups_CreateOrUpdate" changed: 2 -> 7 |
| parameters | error | The number of parameters for operation "NetworkGroups_Delete" changed: 1 -> 6 |
| parameters | error | The number of parameters for operation "StaticMembers_Get" changed: 0 -> 6 |
| parameters | error | The number of parameters for operation "StaticMembers_CreateOrUpdate" changed: 1 -> 7 |
| parameters | error | The number of parameters for operation "StaticMembers_Delete" changed: 0 -> 6 |
| parameters | error | The number of parameters for operation "NetworkManagerRoutingConfigurations_Get" changed: 0 -> 5 |
| parameters | error | The number of parameters for operation "NetworkManagerRoutingConfigurations_CreateOrUpdate" changed: 1 -> 6 |
| parameters | error | The number of parameters for operation "NetworkManagerRoutingConfigurations_Delete" changed: 1 -> 6 |
| parameters | error | The number of parameters for operation "RoutingRuleCollections_Get" changed: 0 -> 6 |
| parameters | error | The number of parameters for operation "RoutingRuleCollections_CreateOrUpdate" changed: 1 -> 7 |
| parameters | error | The number of parameters for operation "RoutingRuleCollections_Delete" changed: 1 -> 7 |
| parameters | error | The number of parameters for operation "RoutingRules_List" changed: 0 -> 8 |
| parameters | error | The number of parameters for operation "RoutingRules_Get" changed: 0 -> 7 |
| parameters | error | The number of parameters for operation "RoutingRules_CreateOrUpdate" changed: 1 -> 8 |
| parameters | error | The number of parameters for operation "RoutingRules_Delete" changed: 1 -> 8 |
| parameters | error | The number of parameters for operation "ScopeConnections_CreateOrUpdate" changed: 1 -> 6 |
| parameters | error | The number of parameters for operation "ScopeConnections_Get" changed: 0 -> 5 |
| parameters | error | The number of parameters for operation "ScopeConnections_Delete" changed: 0 -> 5 |
| parameters | error | The number of parameters for operation "SecurityAdminConfigurations_Get" changed: 0 -> 5 |
| parameters | error | The number of parameters for operation "SecurityAdminConfigurations_CreateOrUpdate" changed: 1 -> 6 |
| parameters | error | The number of parameters for operation "SecurityAdminConfigurations_Delete" changed: 1 -> 6 |
| parameters | error | The number of parameters for operation "AdminRuleCollections_Get" changed: 0 -> 6 |
| parameters | error | The number of parameters for operation "AdminRuleCollections_CreateOrUpdate" changed: 1 -> 7 |
| parameters | error | The number of parameters for operation "AdminRuleCollections_Delete" changed: 1 -> 7 |
| parameters | error | The number of parameters for operation "AdminRules_List" changed: 0 -> 8 |
| parameters | error | The number of parameters for operation "AdminRules_Get" changed: 0 -> 7 |
| parameters | error | The number of parameters for operation "AdminRules_CreateOrUpdate" changed: 1 -> 8 |
| parameters | error | The number of parameters for operation "AdminRules_Delete" changed: 1 -> 8 |
| parameters | error | The number of parameters for operation "SecurityUserConfigurations_Get" changed: 0 -> 5 |
| parameters | error | The number of parameters for operation "SecurityUserConfigurations_CreateOrUpdate" changed: 1 -> 6 |
| parameters | error | The number of parameters for operation "SecurityUserConfigurations_Delete" changed: 1 -> 6 |
| parameters | error | The number of parameters for operation "SecurityUserRuleCollections_Get" changed: 0 -> 6 |
| parameters | error | The number of parameters for operation "SecurityUserRuleCollections_CreateOrUpdate" changed: 1 -> 7 |
| parameters | error | The number of parameters for operation "SecurityUserRuleCollections_Delete" changed: 1 -> 7 |
| parameters | error | The number of parameters for operation "SecurityUserRules_List" changed: 0 -> 8 |
| parameters | error | The number of parameters for operation "SecurityUserRules_Get" changed: 0 -> 7 |
| parameters | error | The number of parameters for operation "SecurityUserRules_CreateOrUpdate" changed: 1 -> 8 |
| parameters | error | The number of parameters for operation "SecurityUserRules_Delete" changed: 1 -> 8 |
| properties | error | The property names of definition "NetworkManagerConnection" changed: ["etag","properties","systemData"] -> ["properties","systemData"] |
| properties | error | The property names of definition "NetworkManagerConnection" changed: ["etag","properties","systemData"] -> ["properties","systemData"] |

## NetworkSecurityPerimeter

| parameters | error | The number of parameters for operation "NetworkSecurityPerimeters_Get" changed: 0 -> 4 |
| parameters | error | The number of parameters for operation "NetworkSecurityPerimeters_CreateOrUpdate" changed: 1 -> 5 |
| parameters | error | The number of parameters for operation "NetworkSecurityPerimeters_Delete" changed: 1 -> 5 |
| parameters | error | The number of parameters for operation "NetworkSecurityPerimeters_Patch" changed: 1 -> 5 |
| parameters | error | The number of parameters for operation "NetworkSecurityPerimeterProfiles_Get" changed: 0 -> 5 |
| parameters | error | The number of parameters for operation "NetworkSecurityPerimeterProfiles_CreateOrUpdate" changed: 1 -> 6 |
| parameters | error | The number of parameters for operation "NetworkSecurityPerimeterProfiles_Delete" changed: 0 -> 5 |
| parameters | error | The number of parameters for operation "NetworkSecurityPerimeterAccessRules_Get" changed: 0 -> 6 |
| parameters | error | The number of parameters for operation "NetworkSecurityPerimeterAccessRules_CreateOrUpdate" changed: 1 -> 7 |
| parameters | error | The number of parameters for operation "NetworkSecurityPerimeterAccessRules_Delete" changed: 0 -> 6 |
| parameters | error | The number of parameters for operation "NetworkSecurityPerimeterAssociations_Get" changed: 0 -> 5 |
| parameters | error | The number of parameters for operation "NetworkSecurityPerimeterAssociations_CreateOrUpdate" changed: 1 -> 6 |
| parameters | error | The number of parameters for operation "NetworkSecurityPerimeterAssociations_Delete" changed: 0 -> 5 |
| parameters | error | The number of parameters for operation "NetworkSecurityPerimeterAssociations_Reconcile" changed: 1 -> 6 |
| response | error | The response schema for operation "NetworkSecurityPerimeterAssociations_Reconcile" changed: {"description":"Reconcile NSP association.","schema":{"$ref":"#/definitions/NspAssociationReconcile"}} -> {"description":"Azure operation completed successfully.","schema":{}} |
| parameters | error | The number of parameters for operation "NetworkSecurityPerimeterAccessRules_Reconcile" changed: 1 -> 7 |
| response | error | The response schema for operation "NetworkSecurityPerimeterAccessRules_Reconcile" changed: {"description":"Reconcile NSP access rule.","schema":{"$ref":"#/definitions/NspAccessRuleReconcile"}} -> {"description":"Azure operation completed successfully.","schema":{}} |
| parameters | error | The number of parameters for operation "NetworkSecurityPerimeterLinks_Get" changed: 0 -> 5 |
| parameters | error | The number of parameters for operation "NetworkSecurityPerimeterLinks_CreateOrUpdate" changed: 1 -> 6 |
| parameters | error | The number of parameters for operation "NetworkSecurityPerimeterLinks_Delete" changed: 0 -> 5 |
| parameters | error | The number of parameters for operation "NetworkSecurityPerimeterLinkReferences_Get" changed: 0 -> 5 |
| parameters | error | The number of parameters for operation "NetworkSecurityPerimeterLinkReferences_Delete" changed: 0 -> 5 |
| parameters | error | The number of parameters for operation "NetworkSecurityPerimeterLoggingConfigurations_Get" changed: 0 -> 5 |
| parameters | error | The number of parameters for operation "NetworkSecurityPerimeterLoggingConfigurations_CreateOrUpdate" changed: 1 -> 6 |
| parameters | error | The number of parameters for operation "NetworkSecurityPerimeterLoggingConfigurations_Delete" changed: 0 -> 5 |
| parameters | error | The number of parameters for operation "NetworkSecurityPerimeterLoggingConfigurations_List" changed: 0 -> 4 |
| parameters | error | The number of parameters for operation "NetworkSecurityPerimeterOperationStatuses_Get" changed: 0 -> 4 |
| properties | error | The property names of definition "NetworkSecurityPerimeter" changed: ["id","location","name","properties","systemData","tags","type"] -> ["properties"] |
| properties | error | The property names of definition "NetworkSecurityPerimeter" changed: ["id","location","name","properties","systemData","tags","type"] -> ["properties"] |
| properties | error | The property names of definition "NetworkSecurityPerimeter" changed: ["id","location","name","properties","systemData","tags","type"] -> ["properties"] |
| properties | error | The property names of definition "NetworkSecurityPerimeter" changed: ["id","location","name","properties","systemData","tags","type"] -> ["properties"] |
| properties | error | The property names of definition "NetworkSecurityPerimeter" changed: ["id","location","name","properties","systemData","tags","type"] -> ["properties"] |
| properties | error | The property names of definition "NetworkSecurityPerimeter" changed: ["id","location","name","properties","systemData","tags","type"] -> ["properties"] |
| properties | error | The property names of definition "NetworkSecurityPerimeter" changed: ["id","location","name","properties","systemData","tags","type"] -> ["properties"] |
| properties | error | The property names of definition "NspAccessRule" changed: ["id","name","properties","systemData","type"] -> ["properties"] |
| properties | error | The property names of definition "NspAccessRule" changed: ["id","name","properties","systemData","type"] -> ["properties"] |
| properties | error | The property names of definition "NspAccessRule" changed: ["id","name","properties","systemData","type"] -> ["properties"] |
| properties | error | The property names of definition "NspAccessRule" changed: ["id","name","properties","systemData","type"] -> ["properties"] |
| properties | error | The property names of definition "NspAccessRule" changed: ["id","name","properties","systemData","type"] -> ["properties"] |
| properties | error | The property names of definition "NspAssociation" changed: ["id","name","properties","systemData","type"] -> ["properties"] |
| properties | error | The property names of definition "NspAssociation" changed: ["id","name","properties","systemData","type"] -> ["properties"] |
| properties | error | The property names of definition "NspAssociation" changed: ["id","name","properties","systemData","type"] -> ["properties"] |
| properties | error | The property names of definition "NspAssociation" changed: ["id","name","properties","systemData","type"] -> ["properties"] |
| properties | error | The property names of definition "NspAssociation" changed: ["id","name","properties","systemData","type"] -> ["properties"] |
| properties | error | The property names of definition "NspLink" changed: ["id","name","properties","systemData","type"] -> ["properties"] |
| properties | error | The property names of definition "NspLink" changed: ["id","name","properties","systemData","type"] -> ["properties"] |
| properties | error | The property names of definition "NspLink" changed: ["id","name","properties","systemData","type"] -> ["properties"] |
| properties | error | The property names of definition "NspLink" changed: ["id","name","properties","systemData","type"] -> ["properties"] |
| properties | error | The property names of definition "NspLink" changed: ["id","name","properties","systemData","type"] -> ["properties"] |
| properties | error | The property names of definition "NspLinkReference" changed: ["id","name","properties","systemData","type"] -> ["properties"] |
| properties | error | The property names of definition "NspLinkReference" changed: ["id","name","properties","systemData","type"] -> ["properties"] |
